domain,status,ok,final_host,css_bytes,dialog_element,popover_attribute,loading_lazy,picture_element,img_srcset,details_element,fetchpriority,module_script,import_map,container_queries,has_selector,nesting_ampersand,cascade_layers,text_wrap_balance,color_mix,custom_properties,subgrid,aspect_ratio
google.com,200,1,www.google.com,16344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloudflare.com,200,1,www.cloudflare.com,640968,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1
gtld-servers.net,0,0,,,,,,,,,,,,,,,,,,,,
gstatic.com,404,0,,,,,,,,,,,,,,,,,,,,
facebook.com,200,1,www.facebook.com,1412435,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
microsoft.com,200,1,www.microsoft.com,91973,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1
googleapis.com,404,0,,,,,,,,,,,,,,,,,,,,
youtube.com,200,1,www.youtube.com,1511125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
amazonaws.com,200,1,aws.amazon.com:443,245667,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1
apple.com,200,1,www.apple.com,308837,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
instagram.com,200,1,www.instagram.com,740613,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
mail.ru,200,1,mail.ru,35792,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
akamai.net,0,0,,,,,,,,,,,,,,,,,,,,
ezviz7.com,0,0,,,,,,,,,,,,,,,,,,,,
fbcdn.net,200,1,www.facebook.com,1412435,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
twitter.com,200,1,twitter.com,71214,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
dzen.ru,200,1,sso.passport.yandex.ru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linkedin.com,200,1,linkedin.com,3345,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
office.com,200,1,www.office.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
googlevideo.com,0,0,,,,,,,,,,,,,,,,,,,,
googletagmanager.com,404,0,,,,,,,,,,,,,,,,,,,,
hicloudcam.com,0,0,,,,,,,,,,,,,,,,,,,,
akamaiedge.net,0,0,,,,,,,,,,,,,,,,,,,,
live.com,417,0,,,,,,,,,,,,,,,,,,,,
amazon.com,202,0,,,,,,,,,,,,,,,,,,,,
akadns.net,0,0,,,,,,,,,,,,,,,,,,,,
domaincontrol.com,0,0,,,,,,,,,,,,,,,,,,,,
azure.com,200,1,azure.microsoft.com,91939,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1
bing.com,200,1,www.bing.com:443,49771,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
github.com,200,1,github.com,350406,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
wikipedia.org,200,1,www.wikipedia.org,60384,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
whatsapp.net,200,1,www.whatsapp.com,142623,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
fastly.net,200,1,www.fastly.com,397623,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1
apple-dns.net,0,0,,,,,,,,,,,,,,,,,,,,
appsflyersdk.com,403,0,,,,,,,,,,,,,,,,,,,,
googleusercontent.com,404,0,,,,,,,,,,,,,,,,,,,,
doubleclick.net,200,1,marketingplatform.google.com,11078,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
aaplimg.com,0,0,,,,,,,,,,,,,,,,,,,,
netflix.com,200,1,www.netflix.com,5639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoftonline.com,0,0,,,,,,,,,,,,,,,,,,,,
office.net,0,0,,,,,,,,,,,,,,,,,,,,
trafficmanager.net,0,0,,,,,,,,,,,,,,,,,,,,
wordpress.org,200,1,wordpress.org,157700,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0
sharepoint.com,0,0,,,,,,,,,,,,,,,,,,,,
digicert.com,200,1,www.digicert.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
